2.2	34
-1.7	31
-4.6	28
-7.9	25
-8.6	22
-9.2	20
-9.4	17
-10.5	15
-10.7	13
-11.3	11
-10.1	9
-8.5	7
-6.4	6
-4.1	4
-1.8	3
0.1	2
0.9	1
3.6	0
5.6	0
10.1	-1
12.7	-1
15.2	-1
14.2	-2
4.2	-2
6.9	-2
20.2	-2
20	-2
32.9	-2
39.5	-2
43.2	-2
47.8	-2
52.3	-2
55.3	-1
56.4	-1
57.5	-1
59.4	-1
59.9	-1
62	-1
61.9	-1
61.5	0
58.4	0
57.2	0
56.9	0
55.3	0
53.7	0
52.7	1
51.2	1
47.8	1
45.7	1
40.8	1
32.3	1
5.1	1
56	1
-15.3	1
-65.1	1
-47.3	1
-4.3	1
6.7	2
4.7	2
12.8	2
25.2	3
34.1	4
34.2	5
28.4	7
25.1	9
29.6	11
40.3	14
47.3	17
49.1	20
45.3	23
38.9	27
37.3	30
42.4	34
50.3	38
55.4	42
56.8	46
56.6	50
57.9	54
62.1	58
69.3	61
76.5	65
81.6	68
82.4	71
82	74
84.3	77
89.3	79
97.2	81
103.7	83
109.6	84
111.8	85
116.1	86
123.2	86
130.7	86
136.4	86
137.7	86
135.3	85
128.6	84
123.4	82
119.1	81
117.2	79
115.6	77
112.7	74
108.4	72
105.1	69
103	66
101.7	63
101.4	60
100	56
98	53
92.4	50
88.6	46
86.2	43
87.4	39
90.8	36
90.7	33
76.1	29
61.9	26
56.8	23
59.1	20
62.6	18
58.6	15
58.2	13
58.8	11
58.3	9
57.1	7
54.3	6
52.4	4
50.8	3
51.4	2
50.9	1
50.8	0
48.7	0
47.7	0
47.1	-1
46.8	-1
49.2	-1
48.8	-1
48.5	-1
47	-2
43.9	-1
21.4	-1
35.9	-1
39	-1
-43.6	-1
-60.8	-1
-24.7	-1
6	-1
3.9	0
4.3	0
13.3	1
21.8	2
23.6	2
17.7	4
8.9	6
7.7	7
12	9
18.8	12
23.4	14
22.3	17
17.7	20
13.2	23
13.9	26
18	30
23.1	33
25.2	36
24.3	40
24	43
25.9	46
32.6	49
40.4	52
49.1	55
53.7	58
56.1	60
58	62
62.5	64
69	66
75.8	68
83.5	69
88	70
92.2	70
96.5	71
100.4	71
101.4	71
100.5	70
95.7	69
88.2	68
80.7	67
73.6	65
68.7	64
63.5	62
59.2	59
55	57
50.7	54
46.3	52
42.3	49
39	46
35.9	43
32.7	40
29.3	37
25.8	34
24.1	31
26.6	28
31.1	25
25.3	23
12.1	20
5.7	18
4.6	15
9.6	13
9.5	11
10	9
12.4	7
15.5	6
18.8	5
18.5	3
17.2	2
16.2	2
18	1
20.7	0
22.1	0
24.2	0
24.2	-1
23.3	-1
22.2	-1
24.3	-1
26.9	-1
28.8	-1
28.5	-1
26.5	-1
15.7	-1
18.5	-1
45.2	-1
-40.3	-1
-68.5	0
-38.7	0
-5.6	0
-7.9	0
-10	1
0.6	1
12.4	2
17.8	3
12.2	5
3.1	6
-1.7	8
3.6	11
12.6	13
19.6	16
19.3	19
13.9	22
9.2	25
8.6	28
14.4	32
21.3	35
26.5	38
26.2	42
24.1	45
25.1	49
31	52
41.4	55
50.5	58
57.4	60
59.2	63
60.1	65
62.6	67
68.3	68
76.4	70
84.5	71
90.1	72
92.9	72
96.1	73
97.8	73
101	72
101.1	72
98.1	71
89.9	70
80.6	68
71.4	67
65.7	65
61.7	63
57.4	60
54.2	58
48.2	56
42.8	53
37.3	50
33.7	47
31.2	44
28.7	41
25.1	38
21.3	35
16.4	32
12.1	29
10.8	26
9.9	23
10.6	20
9.2	18
7.4	15
6.7	13
7	11
8.9	9
9.4	7
11	6
10.8	4
11.6	3
11.1	2
12.7	1
13.9	1
14.8	0
16.3	-1
18.2	-1
12.3	-1
-0.5	-2
6.6	-2
15.5	-2
22.5	-2
31	-2
35.2	-2
40.2	-2
43.5	-2
46.1	-2
47.5	-1
49.8	-1
51.9	-1
55.1	-1
55.3	-1
56.2	-1
55.2	0
53.3	0
51.9	0
50.9	0
50.6	0
49.5	0
